activity,project,workers,duration,time,duration_seconds,start_time,end_time
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,0:01:35,06:33pm October 11th - 06:35pm October 11th,95,2019-10-11T18:33:45+05:45,2019-10-11T18:35:20+05:45
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,1:55:05,04:38pm October 11th - 06:33pm October 11th,6905,2019-10-11T16:38:26+05:45,2019-10-11T18:33:31+05:45
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,1:41:49,02:52pm October 11th - 04:33pm October 11th,6109,2019-10-11T14:52:06+05:45,2019-10-11T16:33:55+05:45
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,0:34:06,01:23pm October 11th - 01:57pm October 11th,2046,2019-10-11T13:23:20+05:45,2019-10-11T13:57:26+05:45
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,0:00:11,01:23pm October 11th - 01:23pm October 11th,11,2019-10-11T13:23:09+05:45,2019-10-11T13:23:20+05:45
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,2:44:40,10:38am October 11th - 01:23pm October 11th,9880,2019-10-11T10:38:28+05:45,2019-10-11T13:23:08+05:45
sprint planning,SURVEY MONKEY,Steve Jobs,0:16:10,05:54pm October 10th - 06:10pm October 10th,970,2019-10-10T17:54:16+05:45,2019-10-10T18:10:26+05:45
test fixed issues,SURVEY MONKEY,Steve Jobs,0:00:09,05:54pm October 10th - 05:54pm October 10th,9,2019-10-10T17:54:07+05:45,2019-10-10T17:54:16+05:45
sprint grooming,JOT FORM,Prakash Sharma,1:00:09,05:52pm October 10th - 06:52pm October 10th,3609,2019-10-10T17:52:48+05:45,2019-10-10T18:52:57+05:45
test fixed issues,SURVEY MONKEY,Steve Jobs,0:14:17,05:10pm October 10th - 05:24pm October 10th,857,2019-10-10T17:10:11+05:45,2019-10-10T17:24:28+05:45
fix staging issues and deploy,SURVEY MONKEY,Steve Jobs,0:01:22,05:08pm October 10th - 05:10pm October 10th,82,2019-10-10T17:08:49+05:45,2019-10-10T17:10:11+05:45
fix staging issues and deploy,SURVEY MONKEY,Steve Jobs,0:06:22,04:49pm October 10th - 04:56pm October 10th,382,2019-10-10T16:49:55+05:45,2019-10-10T16:56:17+05:45
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,1:47:02,04:23pm October 10th - 06:10pm October 10th,6422,2019-10-10T16:23:17+05:45,2019-10-10T18:10:19+05:45
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,0:43:13,03:31pm October 10th - 04:14pm October 10th,2593,2019-10-10T15:31:41+05:45,2019-10-10T16:14:54+05:45
"When I am a captain but then get kicked out of a party room, when I come back, no one is captain",KAHOOT,Dan Abrahamov,0:35:40,02:01pm October 10th - 02:36pm October 10th,2140,2019-10-10T14:01:09+05:45,2019-10-10T14:36:49+05:45
Party room UI,KAHOOT,Dan Abrahamov,3:23:23,10:37am October 10th - 02:01pm October 10th,12203,2019-10-10T10:37:44+05:45,2019-10-10T14:01:07+05:45
groom board,SURVEY MONKEY,Steve Jobs,0:09:47,10:50pm October 5th - 11:00pm October 5th,587,2019-10-05T22:50:34+05:45,2019-10-05T23:00:21+05:45
review merge request,SURVEY MONKEY,Steve Jobs,0:59:35,09:50pm October 5th - 10:50pm October 5th,3575,2019-10-05T21:50:58+05:45,2019-10-05T22:50:33+05:45
Party room UI,KAHOOT,Dan Abrahamov,0:41:46,04:44pm October 4th - 05:26pm October 4th,2506,2019-10-04T16:44:34+05:45,2019-10-04T17:26:20+05:45
Name of survey should appear on survey home screen not the just the business- ex:. Welcome to Mack's House Customer Experience Survey,SURVEY MONKEY,Mausam Khanal,1:11:09,03:43pm October 4th - 04:54pm October 4th,4269,2019-10-04T15:43:49+05:45,2019-10-04T16:54:58+05:45
Name of survey should appear on survey home screen not the just the business- ex:. Welcome to Mack's House Customer Experience Survey,SURVEY MONKEY,Mausam Khanal,0:30:12,03:13pm October 4th - 03:43pm October 4th,1812,2019-10-04T15:13:37+05:45,2019-10-04T15:43:49+05:45
bug fix,SURVEY MONKEY,Dan Abrahamov,2:00:24,02:44pm October 4th - 04:44pm October 4th,7224,2019-10-04T14:44:08+05:45,2019-10-04T16:44:32+05:45
bug fix,SURVEY MONKEY,Dan Abrahamov,0:01:36,02:03pm October 4th - 02:04pm October 4th,96,2019-10-04T14:03:15+05:45,2019-10-04T14:04:51+05:45
bug fix,SURVEY MONKEY,Dan Abrahamov,0:42:02,01:20pm October 4th - 02:02pm October 4th,2522,2019-10-04T13:20:42+05:45,2019-10-04T14:02:44+05:45
PR fix,KAHOOT,Dan Abrahamov,2:01:00,11:19am October 4th - 01:20pm October 4th,7260,2019-10-04T11:19:33+05:45,2019-10-04T13:20:33+05:45
review merge request,SURVEY MONKEY,Steve Jobs,0:23:34,06:39pm October 3rd - 07:03pm October 3rd,1414,2019-10-03T18:39:39+05:45,2019-10-03T19:03:13+05:45
update sprint sheet,SURVEY MONKEY,Steve Jobs,0:11:32,06:28pm October 3rd - 06:39pm October 3rd,692,2019-10-03T18:28:05+05:45,2019-10-03T18:39:37+05:45
Party room UI,KAHOOT,Dan Abrahamov,2:15:13,03:59pm October 3rd - 06:14pm October 3rd,8113,2019-10-03T15:59:22+05:45,2019-10-03T18:14:35+05:45
PR comment fix,SURVEY MONKEY,Dan Abrahamov,0:01:38,03:57pm October 3rd - 03:59pm October 3rd,98,2019-10-03T15:57:43+05:45,2019-10-03T15:59:21+05:45
PR comment fix,SURVEY MONKEY,Dan Abrahamov,3:21:40,12:34pm October 3rd - 03:56pm October 3rd,12100,2019-10-03T12:34:47+05:45,2019-10-03T15:56:27+05:45
PR comment fix,SURVEY MONKEY,Dan Abrahamov,1:03:44,10:51am October 3rd - 11:54am October 3rd,3824,2019-10-03T10:51:08+05:45,2019-10-03T11:54:52+05:45
"DESIGN: Redesign Business Information Page. The user should be able to see the details, and if they click edit, they should see the form",SURVEY MONKEY,Mausam Khanal,0:21:41,05:25pm October 2nd - 05:46pm October 2nd,1301,2019-10-02T17:25:10+05:45,2019-10-02T17:46:51+05:45
"DESIGN: Redesign Business Information Page. The user should be able to see the details, and if they click edit, they should see the form",SURVEY MONKEY,Mausam Khanal,1:00:20,04:24pm October 2nd - 05:25pm October 2nd,3620,2019-10-02T16:24:50+05:45,2019-10-02T17:25:10+05:45
"DESIGN: Redesign Business Information Page. The user should be able to see the details, and if they click edit, they should see the form",SURVEY MONKEY,Mausam Khanal,0:30:06,03:54pm October 2nd - 04:24pm October 2nd,1806,2019-10-02T15:54:44+05:45,2019-10-02T16:24:50+05:45
"DESIGN: Redesign Business Information Page. The user should be able to see the details, and if they click edit, they should see the form",SURVEY MONKEY,Mausam Khanal,0:18:01,03:19pm October 2nd - 03:37pm October 2nd,1081,2019-10-02T15:19:53+05:45,2019-10-02T15:37:54+05:45
Party room UI,KAHOOT,Dan Abrahamov,3:36:36,02:41pm October 2nd - 06:17pm October 2nd,12996,2019-10-02T14:41:03+05:45,2019-10-02T18:17:39+05:45
Party room UI,KAHOOT,Dan Abrahamov,0:23:53,02:00pm October 2nd - 02:24pm October 2nd,1433,2019-10-02T14:00:56+05:45,2019-10-02T14:24:49+05:45
The recent button is broken,KAHOOT,Dan Abrahamov,1:00:07,01:00pm October 2nd - 02:00pm October 2nd,3607,2019-10-02T13:00:49+05:45,2019-10-02T14:00:56+05:45
time freeze UI,KAHOOT,Dan Abrahamov,1:38:54,11:21am October 2nd - 01:00pm October 2nd,5934,2019-10-02T11:21:53+05:45,2019-10-02T13:00:47+05:45
test request feature,SURVEY MONKEY,Steve Jobs,1:10:09,09:57am October 2nd - 11:07am October 2nd,4209,2019-10-02T09:57:50+05:45,2019-10-02T11:07:59+05:45
blur text on boost use,KAHOOT,Steve Jobs,0:00:04,09:57am October 2nd - 09:57am October 2nd,4,2019-10-02T09:57:44+05:45,2019-10-02T09:57:48+05:45
sprint planning,KAHOOT,Dan Abrahamov,0:14:51,06:14pm October 1st - 06:29pm October 1st,891,2019-10-01T18:14:13+05:45,2019-10-01T18:29:04+05:45
"DESIGN: Redesign Business Information Page. The user should be able to see the details, and if they click edit, they should see the form",SURVEY MONKEY,Mausam Khanal,0:18:08,06:13pm October 1st - 06:31pm October 1st,1088,2019-10-01T18:13:10+05:45,2019-10-01T18:31:18+05:45
"DESIGN: Redesign Business Information Page. The user should be able to see the details, and if they click edit, they should see the form",SURVEY MONKEY,Mausam Khanal,0:30:05,05:43pm October 1st - 06:13pm October 1st,1805,2019-10-01T17:43:05+05:45,2019-10-01T18:13:10+05:45
"DESIGN: Redesign Business Information Page. The user should be able to see the details, and if they click edit, they should see the form",SURVEY MONKEY,Mausam Khanal,0:30:10,05:12pm October 1st - 05:43pm October 1st,1810,2019-10-01T17:12:55+05:45,2019-10-01T17:43:05+05:45
DESIGN: Design/ Develop page that business admin see if they have blank/empty surveys,SURVEY MONKEY,Mausam Khanal,0:24:44,04:48pm October 1st - 05:12pm October 1st,1484,2019-10-01T16:48:10+05:45,2019-10-01T17:12:54+05:45
DESIGN: Design/ Develop page that business admin see if they have blank/empty surveys,SURVEY MONKEY,Mausam Khanal,0:30:03,04:18pm October 1st - 04:48pm October 1st,1803,2019-10-01T16:18:07+05:45,2019-10-01T16:48:10+05:45
point estimating,KAHOOT,Dan Abrahamov,2:00:19,04:13pm October 1st - 06:14pm October 1st,7219,2019-10-01T16:13:54+05:45,2019-10-01T18:14:13+05:45
blur text on boost use,KAHOOT,Steve Jobs,0:00:01,03:33pm October 1st - 03:33pm October 1st,1,2019-10-01T15:33:27+05:45,2019-10-01T15:33:28+05:45
blur text on boost use,KAHOOT,Steve Jobs,1:16:41,01:59pm October 1st - 03:15pm October 1st,4601,2019-10-01T13:59:04+05:45,2019-10-01T15:15:45+05:45
redesign dashboard,SURVEY MONKEY,Dan Abrahamov,2:14:55,01:58pm October 1st - 04:13pm October 1st,8095,2019-10-01T13:58:56+05:45,2019-10-01T16:13:51+05:45
time freeze,KAHOOT,Dan Abrahamov,3:00:46,10:58am October 1st - 01:58pm October 1st,10846,2019-10-01T10:58:06+05:45,2019-10-01T13:58:52+05:45
maintain changelog,SURVEY MONKEY,Steve Jobs,0:35:53,10:42am October 1st - 11:18am October 1st,2153,2019-10-01T10:42:52+05:45,2019-10-01T11:18:45+05:45
deploy to production,SURVEY MONKEY,Steve Jobs,0:30:09,10:12am October 1st - 10:42am October 1st,1809,2019-10-01T10:12:43+05:45,2019-10-01T10:42:52+05:45
deploy to staging,SURVEY MONKEY,Steve Jobs,0:46:10,07:58pm September 30th - 08:44pm September 30th,2770,2019-09-30T19:58:35+05:45,2019-09-30T20:44:45+05:45
backlog grooming,KAHOOT,Dan Abrahamov,0:02:32,06:45pm September 30th - 06:48pm September 30th,152,2019-09-30T18:45:29+05:45,2019-09-30T18:48:01+05:45
"Staging Issue fix 27 Sep, 2019",SURVEY MONKEY,Sagun Karanjit,2:00:00,06:17pm September 30th - 08:17pm September 30th,7200,2019-09-30T18:17:05+05:45,2019-09-30T20:17:05+05:45
Design/ Develop page that business admin see if they have blank/empty surveys,SURVEY MONKEY,Mausam Khanal,0:30:16,05:49pm September 30th - 06:19pm September 30th,1816,2019-09-30T17:49:05+05:45,2019-09-30T18:19:21+05:45
Design/ Develop page that business admin see if they have blank/empty surveys,SURVEY MONKEY,Mausam Khanal,0:30:02,05:19pm September 30th - 05:49pm September 30th,1802,2019-09-30T17:19:03+05:45,2019-09-30T17:49:05+05:45
Design/ Develop page that business admin see if they have blank/empty surveys,SURVEY MONKEY,Mausam Khanal,0:30:03,04:49pm September 30th - 05:19pm September 30th,1803,2019-09-30T16:49:00+05:45,2019-09-30T17:19:03+05:45
Design/ Develop page that business admin see if they have blank/empty surveys,SURVEY MONKEY,Mausam Khanal,0:30:04,04:18pm September 30th - 04:49pm September 30th,1804,2019-09-30T16:18:56+05:45,2019-09-30T16:49:00+05:45
Implementation card for time freezer,KAHOOT,Dan Abrahamov,1:30:17,04:04pm September 30th - 05:35pm September 30th,5417,2019-09-30T16:04:50+05:45,2019-09-30T17:35:07+05:45
unlock modal,KAHOOT,Dan Abrahamov,0:00:35,04:04pm September 30th - 04:04pm September 30th,35,2019-09-30T16:04:14+05:45,2019-09-30T16:04:49+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:38:36,03:40pm September 30th - 04:18pm September 30th,2316,2019-09-30T15:40:17+05:45,2019-09-30T16:18:53+05:45
unlock modal,KAHOOT,Dan Abrahamov,3:04:36,12:41pm September 30th - 03:45pm September 30th,11076,2019-09-30T12:41:08+05:45,2019-09-30T15:45:44+05:45
friendlist fix,KAHOOT,Dan Abrahamov,0:30:10,12:10pm September 30th - 12:41pm September 30th,1810,2019-09-30T12:10:58+05:45,2019-09-30T12:41:08+05:45
prepare for backlog grooming,KAHOOT,Steve Jobs,0:18:05,11:01am September 30th - 11:19am September 30th,1085,2019-09-30T11:01:28+05:45,2019-09-30T11:19:33+05:45
572-send-custom-survey-name,SURVEY MONKEY,Steve Jobs,0:09:03,10:49am September 30th - 10:58am September 30th,543,2019-09-30T10:49:56+05:45,2019-09-30T10:58:59+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:21:36,10:01am September 30th - 10:23am September 30th,1296,2019-09-30T10:01:32+05:45,2019-09-30T10:23:08+05:45
test dashboard list component showing same count,SURVEY MONKEY,Steve Jobs,0:14:02,09:47am September 30th - 10:01am September 30th,842,2019-09-30T09:47:30+05:45,2019-09-30T10:01:32+05:45
"Staging Issue fix 27 Sep, 2019",SURVEY MONKEY,Sagun Karanjit,2:00:00,07:17pm September 29th - 09:17pm September 29th,7200,2019-09-29T19:17:49+05:45,2019-09-29T21:17:49+05:45
Fix the sort order for Redemptions table,SURVEY MONKEY,Sagun Karanjit,3:00:00,02:16pm September 29th - 05:16pm September 29th,10800,2019-09-29T14:16:44+05:45,2019-09-29T17:16:44+05:45
test trial business merge request,SURVEY MONKEY,Steve Jobs,0:29:11,01:11pm September 29th - 01:40pm September 29th,1751,2019-09-29T13:11:36+05:45,2019-09-29T13:40:47+05:45
Add pagination to all tables in frontend,SURVEY MONKEY,Sagun Karanjit,4:00:00,07:19am September 29th - 11:19am September 29th,14400,2019-09-29T07:19:26+05:45,2019-09-29T11:19:26+05:45
fix trial business design,SURVEY MONKEY,Steve Jobs,0:48:26,06:38am September 28th - 07:26am September 28th,2906,2019-09-28T06:38:23+05:45,2019-09-28T07:26:49+05:45
"As a super admin, I would like to know when a Business trial account will expire and also filter/sort by trial expiration date.",SURVEY MONKEY,Sagun Karanjit,3:00:00,07:18pm September 27th - 10:18pm September 27th,10800,2019-09-27T19:18:03+05:45,2019-09-27T22:18:03+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:05:31,06:29pm September 27th - 06:34pm September 27th,331,2019-09-27T18:29:04+05:45,2019-09-27T18:34:35+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:30:03,05:59pm September 27th - 06:29pm September 27th,1803,2019-09-27T17:59:01+05:45,2019-09-27T18:29:04+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:30:06,05:28pm September 27th - 05:59pm September 27th,1806,2019-09-27T17:28:55+05:45,2019-09-27T17:59:01+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:30:08,04:58pm September 27th - 05:28pm September 27th,1808,2019-09-27T16:58:47+05:45,2019-09-27T17:28:55+05:45
setup wordpress soono,SURVEY MONKEY,Prakash Sharma,0:39:01,04:40pm September 27th - 05:19pm September 27th,2341,2019-09-27T16:40:37+05:45,2019-09-27T17:19:38+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:30:09,04:28pm September 27th - 04:58pm September 27th,1809,2019-09-27T16:28:38+05:45,2019-09-27T16:58:47+05:45
setup wordpress soono,SURVEY MONKEY,Prakash Sharma,0:27:43,04:09pm September 27th - 04:37pm September 27th,1663,2019-09-27T16:09:53+05:45,2019-09-27T16:37:36+05:45
ios build,KAHOOT,Dan Abrahamov,1:31:16,01:21pm September 27th - 02:52pm September 27th,5476,2019-09-27T13:21:04+05:45,2019-09-27T14:52:20+05:45
shop navigation,KAHOOT,Dan Abrahamov,0:30:13,12:50pm September 27th - 01:21pm September 27th,1813,2019-09-27T12:50:51+05:45,2019-09-27T13:21:04+05:45
change insert text to survey name,SURVEY MONKEY,Steve Jobs,0:24:52,12:39pm September 27th - 01:04pm September 27th,1492,2019-09-27T12:39:50+05:45,2019-09-27T13:04:42+05:45
shop navigation,KAHOOT,Dan Abrahamov,0:22:34,12:27pm September 27th - 12:49pm September 27th,1354,2019-09-27T12:27:01+05:45,2019-09-27T12:49:35+05:45
change insert text to survey name,SURVEY MONKEY,Steve Jobs,0:50:30,11:33am September 27th - 12:23pm September 27th,3030,2019-09-27T11:33:02+05:45,2019-09-27T12:23:32+05:45
799 list  component send id with records,SURVEY MONKEY,Steve Jobs,0:30:22,11:02am September 27th - 11:33am September 27th,1822,2019-09-27T11:02:40+05:45,2019-09-27T11:33:02+05:45
fix staging issue,SURVEY MONKEY,Steve Jobs,1:18:55,08:45am September 27th - 10:04am September 27th,4735,2019-09-27T08:45:48+05:45,2019-09-27T10:04:43+05:45
As a user I should be able to drag dashboard components,SURVEY MONKEY,Sagun Karanjit,1:00:00,08:56pm September 26th - 09:56pm September 26th,3600,2019-09-26T20:56:45+05:45,2019-09-26T21:56:45+05:45
deploy changes,SURVEY MONKEY,Steve Jobs,0:12:08,07:43pm September 26th - 07:55pm September 26th,728,2019-09-26T19:43:38+05:45,2019-09-26T19:55:46+05:45
review merge request,SURVEY MONKEY,Steve Jobs,0:19:36,07:24pm September 26th - 07:43pm September 26th,1176,2019-09-26T19:24:02+05:45,2019-09-26T19:43:38+05:45
review merge request,SURVEY MONKEY,Steve Jobs,0:05:45,06:54pm September 26th - 07:00pm September 26th,345,2019-09-26T18:54:29+05:45,2019-09-26T19:00:14+05:45
review merge request,SURVEY MONKEY,Steve Jobs,0:20:26,06:25pm September 26th - 06:45pm September 26th,1226,2019-09-26T18:25:11+05:45,2019-09-26T18:45:37+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:17:45,06:12pm September 26th - 06:30pm September 26th,1065,2019-09-26T18:12:48+05:45,2019-09-26T18:30:33+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:30:04,05:42pm September 26th - 06:12pm September 26th,1804,2019-09-26T17:42:44+05:45,2019-09-26T18:12:48+05:45
test merge request,SURVEY MONKEY,Steve Jobs,0:36:43,05:34pm September 26th - 06:11pm September 26th,2203,2019-09-26T17:34:53+05:45,2019-09-26T18:11:36+05:45
"As a user, I should see a prompt telling me I am opting in when I submit my email address",SURVEY MONKEY,Mausam Khanal,0:30:05,05:12pm September 26th - 05:42pm September 26th,1805,2019-09-26T17:12:38+05:45,2019-09-26T17:42:43+05:45
"As a super admin, I should be able to configure a Businesses Social Media pages and SMS short code.",SURVEY MONKEY,Mausam Khanal,0:04:11,05:08pm September 26th - 05:12pm September 26th,251,2019-09-26T17:08:25+05:45,2019-09-26T17:12:36+05:45
"As a super admin, I should be able to configure a Businesses Social Media pages and SMS short code.",SURVEY MONKEY,Mausam Khanal,0:30:07,04:38pm September 26th - 05:08pm September 26th,1807,2019-09-26T16:38:18+05:45,2019-09-26T17:08:25+05:45
"As a super admin, I should be able to configure a Businesses Social Media pages and SMS short code.",SURVEY MONKEY,Mausam Khanal,0:30:07,04:08pm September 26th - 04:38pm September 26th,1807,2019-09-26T16:08:11+05:45,2019-09-26T16:38:18+05:45
shop navigation,KAHOOT,Dan Abrahamov,3:32:55,02:56pm September 26th - 06:28pm September 26th,12775,2019-09-26T14:56:02+05:45,2019-09-26T18:28:57+05:45
test email report,SURVEY MONKEY,Steve Jobs,0:01:50,01:15pm September 26th - 01:17pm September 26th,110,2019-09-26T13:15:22+05:45,2019-09-26T13:17:12+05:45
shop navigation,KAHOOT,Dan Abrahamov,2:21:59,12:17pm September 26th - 02:39pm September 26th,8519,2019-09-26T12:17:08+05:45,2019-09-26T14:39:07+05:45
optimize serializer,SURVEY MONKEY,Steve Jobs,1:30:12,11:45am September 26th - 01:15pm September 26th,5412,2019-09-26T11:45:10+05:45,2019-09-26T13:15:22+05:45
reset password ui,SURVEY MONKEY,Steve Jobs,1:00:37,10:44am September 26th - 11:45am September 26th,3637,2019-09-26T10:44:33+05:45,2019-09-26T11:45:10+05:45
test merge request,SURVEY MONKEY,Steve Jobs,0:42:48,10:01am September 26th - 10:44am September 26th,2568,2019-09-26T10:01:45+05:45,2019-09-26T10:44:33+05:45
As a user I should be able to drag dashboard components,SURVEY MONKEY,Sagun Karanjit,1:00:00,08:56pm September 25th - 09:56pm September 25th,3600,2019-09-25T20:56:54+05:45,2019-09-25T21:56:54+05:45
reset password ui,SURVEY MONKEY,Steve Jobs,0:00:00,06:04pm September 25th - 06:04pm September 25th,0,2019-09-25T18:04:22+05:45,2019-09-25T18:04:22+05:45
reset password ui,SURVEY MONKEY,Steve Jobs,0:41:25,05:18pm September 25th - 06:00pm September 25th,2485,2019-09-25T17:18:40+05:45,2019-09-25T18:00:05+05:45
Name of survey should appear on survey home screen not the just the business- ex:. Welcome to Mack's House Customer Experience Survey,SURVEY MONKEY,Mausam Khanal,0:01:50,04:47pm September 25th - 04:48pm September 25th,110,2019-09-25T16:47:01+05:45,2019-09-25T16:48:51+05:45
reset password ui,SURVEY MONKEY,Steve Jobs,0:05:22,10:48am September 25th - 10:54am September 25th,322,2019-09-25T10:48:51+05:45,2019-09-25T10:54:13+05:45
reset password ui,SURVEY MONKEY,Steve Jobs,0:00:22,10:48am September 25th - 10:49am September 25th,22,2019-09-25T10:48:51+05:45,2019-09-25T10:49:13+05:45
Survey Templates Category Section should not be displayed if there are no available survey templates in that category section,SURVEY MONKEY,Sagun Karanjit,1:00:00,08:50pm September 24th - 09:50pm September 24th,3600,2019-09-24T20:50:09+05:45,2019-09-24T21:50:09+05:45
sprint planning,SURVEY MONKEY,Steve Jobs,1:49:18,08:32pm September 24th - 10:21pm September 24th,6558,2019-09-24T20:32:13+05:45,2019-09-24T22:21:31+05:45
sprint planning,SURVEY MONKEY,Steve Jobs,0:43:20,07:47pm September 24th - 08:30pm September 24th,2600,2019-09-24T19:47:38+05:45,2019-09-24T20:30:58+05:45
sprint planning,SURVEY MONKEY,Steve Jobs,1:37:35,05:44pm September 24th - 07:22pm September 24th,5855,2019-09-24T17:44:49+05:45,2019-09-24T19:22:24+05:45
ui to reset password,SURVEY MONKEY,Steve Jobs,0:00:08,05:44pm September 24th - 05:44pm September 24th,8,2019-09-24T17:44:41+05:45,2019-09-24T17:44:49+05:45
ui to reset password,SURVEY MONKEY,Steve Jobs,0:22:30,05:15pm September 24th - 05:37pm September 24th,1350,2019-09-24T17:15:05+05:45,2019-09-24T17:37:35+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,0:30:10,04:44pm September 24th - 05:15pm September 24th,1810,2019-09-24T16:44:55+05:45,2019-09-24T17:15:05+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,1:43:44,02:16pm September 24th - 03:59pm September 24th,6224,2019-09-24T14:16:11+05:45,2019-09-24T15:59:55+05:45
,SURVEY MONKEY,Sagun Karanjit,4:00:00,08:56pm September 23rd - 12:56am September 24th,14400,2019-09-23T20:56:13+05:45,2019-09-24T00:56:13+05:45
"As a super admin, I would like to know when a Business trial account will expire and also filter/sort by trial expiration date.",SURVEY MONKEY,Sagun Karanjit,2:00:00,08:54pm September 23rd - 10:54pm September 23rd,7200,2019-09-23T20:54:35+05:45,2019-09-23T22:54:35+05:45
backlog grooming,SURVEY MONKEY,Steve Jobs,1:33:36,05:21pm September 23rd - 06:55pm September 23rd,5616,2019-09-23T17:21:37+05:45,2019-09-23T18:55:13+05:45
test staging fix,SURVEY MONKEY,Steve Jobs,0:30:28,04:51pm September 23rd - 05:21pm September 23rd,1828,2019-09-23T16:51:09+05:45,2019-09-23T17:21:37+05:45
reset password,SURVEY MONKEY,Steve Jobs,0:58:13,12:42pm September 23rd - 01:40pm September 23rd,3493,2019-09-23T12:42:03+05:45,2019-09-23T13:40:16+05:45
reset password ui,SURVEY MONKEY,Steve Jobs,1:00:08,11:41am September 23rd - 12:42pm September 23rd,3608,2019-09-23T11:41:55+05:45,2019-09-23T12:42:03+05:45
menu for business users,SURVEY MONKEY,Steve Jobs,0:59:37,10:42am September 23rd - 11:41am September 23rd,3577,2019-09-23T10:42:18+05:45,2019-09-23T11:41:55+05:45
staging issues fix,SURVEY MONKEY,Steve Jobs,0:49:59,09:52am September 23rd - 10:42am September 23rd,2999,2019-09-23T09:52:19+05:45,2019-09-23T10:42:18+05:45
prepare for backlog grooming,SURVEY MONKEY,Steve Jobs,0:03:08,09:30am September 23rd - 09:34am September 23rd,188,2019-09-23T09:30:56+05:45,2019-09-23T09:34:04+05:45
prepare for backlog grooming,SURVEY MONKEY,Steve Jobs,0:00:38,09:30am September 23rd - 09:31am September 23rd,38,2019-09-23T09:30:56+05:45,2019-09-23T09:31:34+05:45
prepare for backlog grooming,SURVEY MONKEY,Steve Jobs,1:12:43,07:39am September 23rd - 08:52am September 23rd,4363,2019-09-23T07:39:42+05:45,2019-09-23T08:52:25+05:45
fix staging issues,SURVEY MONKEY,Steve Jobs,0:37:47,04:21pm September 22nd - 04:59pm September 22nd,2267,2019-09-22T16:21:56+05:45,2019-09-22T16:59:43+05:45
redesign menu for business users,SURVEY MONKEY,Steve Jobs,2:06:10,02:15pm September 22nd - 04:21pm September 22nd,7570,2019-09-22T14:15:44+05:45,2019-09-22T16:21:54+05:45
redesign menu for business users,SURVEY MONKEY,Steve Jobs,2:30:14,10:21am September 22nd - 12:51pm September 22nd,9014,2019-09-22T10:21:31+05:45,2019-09-22T12:51:45+05:45
As a user I should be able to drag dashboard components,SURVEY MONKEY,Sagun Karanjit,3:00:00,08:54pm September 20th - 11:54pm September 20th,10800,2019-09-20T20:54:55+05:45,2019-09-20T23:54:55+05:45
test released features,SURVEY MONKEY,Steve Jobs,0:14:27,07:58pm September 20th - 08:13pm September 20th,867,2019-09-20T19:58:51+05:45,2019-09-20T20:13:18+05:45
test released features,SURVEY MONKEY,Steve Jobs,0:24:30,07:24pm September 20th - 07:48pm September 20th,1470,2019-09-20T19:24:09+05:45,2019-09-20T19:48:39+05:45
deploy to staging,SURVEY MONKEY,Steve Jobs,0:30:20,06:53pm September 20th - 07:24pm September 20th,1820,2019-09-20T18:53:49+05:45,2019-09-20T19:24:09+05:45
fix merge request and deploy to staging,SURVEY MONKEY,Steve Jobs,0:16:11,05:48pm September 20th - 06:04pm September 20th,971,2019-09-20T17:48:40+05:45,2019-09-20T18:04:51+05:45
api to update components after dragged,SURVEY MONKEY,Steve Jobs,1:30:23,11:01am September 20th - 12:31pm September 20th,5423,2019-09-20T11:01:01+05:45,2019-09-20T12:31:24+05:45
fix email report,SURVEY MONKEY,Steve Jobs,0:30:20,10:30am September 20th - 11:01am September 20th,1820,2019-09-20T10:30:41+05:45,2019-09-20T11:01:01+05:45
